"accession","Origin","name"
"PF00500","Non-viral","Major Late protein (L1)"
"PF00688","Non-viral","TGF-beta propeptide"
"PF01829","Non-viral","Peptidase A6 family"
"PF03066","Non-viral","Nucleoplasmin/nucleophosmin domain"
"PF03566","Non-viral","Peptidase family A21"
"PF11175 ","Non-viral","Protein of unknown function (DUF2961)"
"PF15414","Non-viral","Protein of unknown function (DUF4621)"
"PF17800","Non-viral","Nucleoplasmin-like domain"
"PF21628","Non-viral","Major coat protein-like"
"PF21881","Viral","A223 penton protein second domain"
"PF00740","Viral","Parvovirus coat protein VP1/VP2"
"PF02305","Viral","Microviridae F protein family"
"PF02306","Viral","Microviridae Major Spike Protein G"
"PF02336","Viral","Capsid Protein VP4"
"PF00073","Viral","picornavirus capsid protein"
"PF00718","Viral","Polyomavirus coat protein"
"PF00729","Viral","Icosahedral capsid S domain"
"PF00738","Viral","Polyhedrin"
"PF00760","Viral","Coat Protein (Cucumber Mosaic Virus)"
"PF00844","Viral","Geminivirus coat protein/nuclear export factor BR1 family"
"PF00894","Viral","Luteovirus coat protein"
"PF00915","Viral","Calicivirus coat protein"
"PF00983","Viral","Tymovirus coat protein"
"PF01318","Viral","Bromovirus coat protein"
"PF01766","Viral","Birnavirus VP2 protein"
"PF01787","Viral","Ilarvirus coat protein"
"PF02226","Viral","Picornavirus coat protein (VP4)"
"PF02247","Viral","Large coat protein (Como_LCP)"
"PF02248","Viral","Small coat protein"
"PF02443","Viral","Circovirus capsid protein"
"PF02956","Viral","TT viral orf 1"
"PF03014","Viral","Structural protein 2 nucleoplasmin-like domain"
"PF03115","Viral","Astrovirus capsid protein nucleoplasmin-like domain"
"PF03340","Viral","Poxvirus rifampicin resistance protein"
"PF03391","Viral","Nepovirus coat protein, central domain"
"PF03678","Viral","Hexon, adenovirus major coat protein, C-terminal domain"
"PF03688","Viral","Nepovirus coat protein, C-terminal domain"
"PF03689","Viral","Nepovirus coat protein, N-terminal domain"
"PF03898","Viral","Satellite tobacco necrosis virus coat protein"
"PF04660","Viral","Nanovirus coat protein"
"PF06184","Viral","Potexvirus coat protein"
"PF08435","Viral","Calicivirus coat protein C-terminal"
"PF08462","Viral","Carmovirus coat protein"
"PF08762","Viral","CRPV capsid protein like"
"PF08935","Viral","Viral protein VP4 subunit"
"PF11492","Viral","Cricket paralysis virus, VP4"
"PF11729","Viral","nodavirus capsid protein"
"PF12264","Viral","Waikavirus capsid protein 1"
"PF12944","Viral","Hepatitis A virus viral protein VP"
"PF16530","Viral","Infectious hypodermal and haematopoietic necrosis virus, capsid"
"PF16903","Viral","Major capsid protein N-terminus"
"PF18628","Viral","Viral coat protein P2 N-terminal domain"
"PF21190","Viral","Bbp16"
"PF21879","Viral","C381 turret protein Nucleoplasmin-like/VP domain"
"PF21915","Viral","Sputnik virophage major capsid protein 1st domain"
"PF22024","Viral","Major capsid protein VP16-like"
"PF22188","Viral","Phage PM2 spike protein P1"
"PF22210","Viral","Large MCP VP17 central beta-barrel"
"PF22402","Viral","Coat protein, P (projecting) domain"
"PF22405","Viral","Sulfolobus turreted icosahedral virus 1-like, major capsid protein"
"PF22464","Viral","Spike protein P1, first jelly-roll domain"
"PF22465","Viral","Spike protein P1, second jelly-roll domain"
"PF22663","Viral","Picornavirus coat protein"
"PF24517","Non-viral","Domain of unknown function (DUF7594)"
