Accession	Name	Description	Source Database
IPR025300	Beta-galactosidase jelly roll domain	This domain is found in beta-galactosidase enzymes, mainly from the glycosyl hydrolase 35 family. It has a jelly roll fold [[cite:PUB00031444]].	INTERPRO
PF21738	Double jelly roll-like domain	This entry represents a domain found in a group of proteins mainly from arthropods containing a jelly-roll domain, which has similarity to domains otherwise found in a variety of large dsDNA virus capsid proteins.	PFAM
IPR049512	Double jelly roll-like domain	This entry represents a domain found in a family of proteins mainly from arthropods containing a jelly-roll domain, which has similarity to domains otherwise found in a variety of large dsDNA virus capsid proteins.	INTERPRO
PF22464	Spike protein P1, first jelly-roll domain	This entry represents the first jelly-roll domain of Spike protein P1 from Pseudoalteromonas phage PM2 [[cite:PUB00049918]].	PFAM
PF22465	Spike protein P1, second jelly-roll domain	This entry represents the second jelly-roll domain of Spike protein P1 from Pseudoalteromonas phage PM2 [[cite:PUB00049918]].	PFAM
PF22907	Alpha-mannosidase, jelly roll domain	This domain is found at the N-terminal end of Alpha-mannosidase 2C1 from Schizosaccharomyces pombe (Ams1) and similar sequences mainly from eukaryota and some species from actinomycetes. Ams1 hydrolyse terminal alpha-linked mannoses in free oligosaccharides released from misfolded glycoproteins or lipid-linked oligosaccharide donors. This entry represents the jelly-roll domain [[cite:PUB00153805]].	PFAM
IPR055085	Major capsid protein, jelly-roll	This entry represents a jelly-roll domain found at the C-terminal end of the major capsid protein from Sulfolobus turreted icosahedral virus 1. The structure of this domain is similar to major capsid protein structures of the eukaryotic Paramecium bursaria Chlorella virus, and the bacteriophage PRD1, and shows a common fold with the mammalian adenovirus [[cite:PUB00039590], [cite:PUB00154247]].	INTERPRO
PF22794	ZPR1 jelly-roll domain	This entry represents the jelly-roll domain found in ZPR1 family. The zinc-finger protein ZPR1 is ubiquitous among eukaryotes. It is indeed known to be an essential protein in yeast. In quiescent cells, ZPR1 is localised to the cytoplasm. But in proliferating cells treated with EGF or with other mitogens, ZPR1 accumulates in the nucleolus. ZPR1 interacts with the cytoplasmic domain of the inactive EGF receptor (EGFR) and is thought to inhibit the basal protein tyrosine kinase activity of EGFR. This interaction is disrupted when cells are treated with EGF, though by themselves, inactive EGFRs are not sufficient to sequester ZPR1 to the cytoplasm [[cite:PUB00020594],[cite:PUB00020595],[cite:PUB00017397]]. Upon stimulation by EGF, ZPR1 directly binds the eukaryotic translation elongation factor-1alpha (eEF-1alpha) to form ZPR1/eEF-1alpha complexes [[cite:PUB00020594]]. These move into the nucleus, localising particularly at the nucleolus. Indeed, the interaction between ZPR1 and eEF-1alpha has been shown to be essential for normal cellular proliferation [[cite:PUB00020594]], and ZPR1 is thought to be involved in pre-ribosomal RNA expression [[cite:PUB00020595]]. ZPR1 binds preferentially to GDP-bound eEF1A but does not directly influence the kinetics of nucleotide exchange or GTP hydrolysis [[cite:PUB00045181]]. The alignment for the ZPR1 family shows a duplicated set composed of a zinc-ribbon domain followed by a jelly- roll domain (this entry). This family also includes several hypothetical archaeal proteins (from both Crenarchaeota and Euryarchaeota). This similarity between ZPR1 and archaeal proteins was not previously noted.	PFAM
IPR049412	Minor capsid protein V18-like, jelly roll domain	This entry represents the single jelly-roll domain of Sputnik virus minor capsid proteins V18 [[cite:PUB00151820]]. Sputnik is a dsDNA virus, referred to as a virophage, that is coassembled with Mimivirus in the host amoeba. It is an icosahedral virus and its capsid contains a major protein (V20) and two minor proteins (V18/19) [[cite:PUB00151820]].	INTERPRO
IPR056180	ZPR1, jelly-roll domain	This entry represents the jelly-roll domain found in ZPR1 family. This entry consists of zinc finger protein ZPR1 and ZPR1-like proteins. The function of ZPR1 from archaea and eukaryotes is not yet clear. However, Zpr1 from yeast acts as a protein folding chaperone for elongation factor 1-alpha [[cite:PUB00103908]]. ZPR1 is present in both the cytoplasm and nucleoplasm and its subcellular distribution changes during proliferation [[cite:PUB00035839]]. ZPR1 binds to the cytoplasmic tyrosine kinase domain of the epidermal growth factor receptor (EGFR) [[cite:PUB00017397]] and is a component of downstream signalling of both EGFR and FGFR signalling [[cite:PUB00090578]]. Upon stimulation by EGF, ZPR1 directly binds the eukaryotic translation elongation factor-1alpha (eEF-1alpha) to form ZPR1/eEF-1alpha complexes, an interaction that is essential for normal cellular proliferation [[cite:PUB00020594]]. It has been associated with susceptibility to type 2 diabetes [[cite:PUB00090579]] and is downregulated in patients with spinal muscular atrophy [[cite:PUB00090579]]. ZPR1 interacts with complexes formed by SMN [[cite:PUB00035839]], and may act as a modifier that affects the severity of SMA.	INTERPRO
IPR014710	RmlC-like jelly roll fold	RmlC (deoxythymidine diphosphates-4-dehydrorhamnose 3,5-epimerase; [ec:5.1.3.13]) is a mainly beta class protein with a jelly roll-like topology. It is a dTDP-sugar isomerase enzyme involved in the synthesis of L-rhamnose, a saccharide required for the virulence of some pathogenic bacteria [[cite:PUB00009949]]. This entry represents the domain with the jelly roll-like fold.	INTERPRO
PF17644	Jelly-roll domain of 30K viral movement proteins	This entry represents the core domain found in viral movement proteins (MP) of the 30K type. The core domain is conserved among MPs of 30K sharing the same predicted secondary structure which consists of 1 alpha-helix and 7 predicted beta-strands. The only sequence feature common to all 30K MPs is a short region between beta-strands 1 and 2, which contains several conserved hydrophobic positions, and a nearly-invariant aspartate which constitutes the sequence signature of the superfamily. This signature aspartate has a conserved role in essential for viral cell-to-cell movement [[cite:PUB00091032]]. It has been shown that this domain is structurally related to jelly roll capsid proteins from plant viruses [[cite:PUB00155479]].	PFAM
PTHR33387	RMLC-LIKE JELLY ROLL FOLD PROTEIN		PANTHER
IPR049413	Minor capsid protein V18/19-like, jelly roll domain superfamily	This entry represents the single jelly-roll domain of Sputnik virus minor capsid proteins V18 and V19 [[cite:PUB00151820]]. Sputnik is a dsDNA virus, referred to as a virophage, that is coassembled with Mimivirus in the host amoeba. It is an icosahedral virus and its capsid contains a major protein (V20) and two minor proteins (V18/19) [[cite:PUB00151820]].	INTERPRO
SSF56672	DNA/RNA polymerases		SSF
IPR043502	DNA/RNA polymerase superfamily	This entry represents the DNA/RNA polymerase superfamily, which includes DNA polymerase I, reverse transcriptase, T7 RNA polymerase, lesion bypass DNA polymerase (Y-family), RNA-dependent RNA-polymerase and dsRNA phage RNA-dependent RNA-polymerase. These enzymes share a similar protein fold at their active site, which resembles the palm subdomain of the right-hand-shaped polymerases [[cite:PUB00094074]].	INTERPRO
PF21454	Major structural protein 1, jelly-roll domain	This entry represents a beta barrel domain found towards the N-terminal of phage Tuc2009 receptor binding protein (RBP) which forms the head domain, involved in carbohydrate recognition [[cite:PUB00151805]].	PFAM
IPR049005	Major structural protein 1, jelly-roll domain	This entry represents a β-barrel domain found towards the N-terminal of phage Tuc2009 receptor binding protein (RBP) which forms the head domain, involved in carbohydrate recognition [[cite:PUB00151805]].	INTERPRO
