Accession	Name	Description	Source Database
IPR008987	Baseplate structural protein Gp9/Gp10	The members of this family are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains. The N-terminal domain consists of an extended polypeptide chain and two α helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded β-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight-stranded antiparallel β-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]]. This entry represents the N-terminal domain of Gp10, that in Gp9 covers the full length.	INTERPRO
PF07880	Bacteriophage T4 gp9/10-like protein	The members of this family are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 (Swiss:P10927) connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains.  The N-terminal domain consists of an extended polypeptide chain and two alpha helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded beta-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight- stranded antiparallel beta-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 (Swiss:P10928) initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	PFAM
IPR036240	Gp9-like superfamily	Members of this entry are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains.  The N-terminal domain consists of an extended polypeptide chain and two α helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded β-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight- stranded antiparallel β-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	INTERPRO
PF22826	PL28 ulvan lyases	This entry represents the PL28 family of ulvan lyases. These enzymes degrade ulvan next to either epimer of uronic acid. They adopt a beta-sandwich structure with a jelly-roll topology containing a deep positively charged cleft that defines the substrate binding site [[cite:PUB00154170]].	PFAM
IPR015227	Mitogen, Yersinia pseudotuberculosis	Members of this family of Yersinia pseudotuberculosis mitogens adopt a sandwich structure consisting of nine strands in two β sheets, in a jelly-roll topology. As with other superantigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].	INTERPRO
PF22825	HpiC1 cyclase	This entry represents the homologues of HpiC1, a Stig cyclase that catalyzes the formation of 12-epi-hapalindole U. This enzyme folds into a beta-sandwich with jelly-roll topology that is distantly related to galactose-binding domains. HpiC1 has two integral Ca2+ ions, each with octahedral coordination geometry. Ca2+ ions are required for catalytic activity.	PFAM
IPR054720	HpiC1 cyclase	This entry represents HpiC1, a Stig cyclase that catalyses the formation of 12-epi-hapalindole U. This enzyme folds into a β-sandwich with jelly-roll topology that is distantly related to galactose-binding domains. HpiC1 has two integral Ca2 ions, each with octahedral coordination geometry. Ca2 ions are required for catalytic activity [[cite:PUB00154015]].	INTERPRO
IPR010392	Satellite virus coat	This entry represents coat proteins found in several satellite viruses, including satellite panicum mosaic virus [[cite:PUB00020147]], satellite tobacco necrosis virus, and satellite St. Augustine decline virus. The coat proteins of satellite viruses consist of a β-sandwich jelly-roll fold, with usually eight strands making up the two sheets, although some members can have an extra 1-2 strands. The characteristic interaction between the domains of this fold allows the formation of five-fold and pseudo six-fold assemblies. Although the satellite virus coat proteins share the same jelly-roll fold, they differ in the arrangement of their secondary structural elements and in the interactions of adjacent subunits [[cite:PUB00007874]].	INTERPRO
IPR009794	Anabaena sensory rhodopsin transducer	This entry represents a family of proteins found in bacteria and some archaeal species, including the Anabaena sensory rhodopsin transducer (ASRT) and the hypothetical protein TM1070 from Thermotoga maritima. ASRT, likely to bind sugars or related metabolites, is comprised of a single globular domain with an eight-stranded β-sandwich fold with a well conserved tryptophan at the start of the first strand and a nearly absolutely conserved asparagine located at the end of the second β-strand that is involved in stabilising the characteristic tight turn between strands 2 and 3 of the structure [[cite:PUB00100872], [cite:PUB00041719], [cite:PUB00100873]]. TM1070 has a β-sandwich structure with a jelly-roll fold.	INTERPRO
PF22446	Head N-terminal domain	This entry represents a compact jelly-roll beta-sandwich domain (head domain) of the polysaccharide receptor-binding protein from  Lactococcus phage 1358 [[cite:PUB00154031]].	PFAM
