"accession","target_name","tlen","query_name","query_accession","qlen","E.value","score...8","bias...9","X.","of","c.Evalue","i.Evalue","score...14","bias...15","hmm_from","hmm_to","ali_from","ali_to","env_from","env_to","acc","description","query_name_clean","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","origin"
"PF00688","TGFb_propeptide",242,"DTR_249382_7","-",644,0.33,10.8,0,1,1,2.6e-05,0.54,10.1,0,106,140,243,275,198,285,0.79,"TGF-beta propeptide","DTR_249382","IMG/M",15316,42,1,0,0,22,"Engineered","Bioreactor","Anaerobic","NULL","non_viral_origin"
"PF00688","TGFb_propeptide",242,"DTR_065955_24","-",210,0.18,11.7,0,1,1,1.1e-05,0.24,11.2,0,109,133,53,77,5,95,0.79,"TGF-beta propeptide","DTR_065955","IMG/M",11715,123,3,0,0,22,"Aquatic","Marine","Oceanic","NULL","non_viral_origin"
"PF00738","Polyhedrin",232,"DTR_534463_11","-",108,0.1,12.1,0.1,1,1,1.9e-05,0.13,11.8,0.1,23,75,42,92,6,100,0.84,"Polyhedrin","DTR_534463","CIBIO",13319,21,3,0,0,17,"Host_Associated","Human","Gut","NULL","viral_origin"
"PF00760","Cucumo_coat",175,"DTR_676592_4","-",75,0.1,12.4,0,1,1,1.2e-05,0.12,12.1,0,131,158,9,36,3,48,0.78,"Cucumovirus coat protein","DTR_676592","MGnify",5923,55,1,0,0,6,"Engineered","Wastewater",NA,"NULL","viral_origin"
"PF00760","Cucumo_coat",175,"DTR_713157_23","-",151,0.11,12.2,0.1,1,1,3.3e-05,0.14,12,0.1,4,85,20,102,17,125,0.81,"Cucumovirus coat protein","DTR_713157","MGnify",17421,28,7,0,0,18,"Host_Associated","Human","Gut","GCA_000915675.1","viral_origin"
"PF00760","Cucumo_coat",175,"DTR_773801_3","-",156,0.087,12.6,0.1,1,1,2.5e-05,0.11,12.3,0.1,4,85,25,107,22,130,0.81,"Cucumovirus coat protein","DTR_773801","HGM",17525,41,7,0,0,19,"Host_Associated","Human","Gut","GCA_000915675.1","viral_origin"
"PF00760","Cucumo_coat",175,"DTR_124782_2","-",75,0.1,12.4,0,1,1,1.2e-05,0.12,12.1,0,131,158,9,36,3,48,0.78,"Cucumovirus coat protein","DTR_124782","IMG/M",5991,123,1,0,0,5,"Engineered","Wastewater","Anaerobic digestor","NULL","viral_origin"
"PF00983","Tymo_coat",179,"DTR_315726_20","-",150,0.077,13,0.2,1,1,1.4e-05,0.094,12.7,0.2,66,136,51,124,43,149,0.8,"Tymovirus coat protein","DTR_315726","IMG/M",12783,99,1,0,0,27,"Aquatic","Freshwater","Lake","NULL","viral_origin"
"PF02226","Pico_P1A",68,"DTR_482361_12","-",312,0.11,12.8,0.2,2,2,0.042,290,1.8,0,8,28,132,152,127,154,0.86,"Picornavirus coat protein (VP4)","DTR_482361","CIBIO",8605,141,1,0,0,11,"Host_Associated","Human","Gut","NULL","viral_origin"
"PF02226","Pico_P1A",68,"DTR_851643_12","-",312,0.11,12.8,0.2,1,2,0.00038,2.6,8.4,0.1,11,38,67,94,60,105,0.86,"Picornavirus coat protein (VP4)","DTR_851643","HGM",8605,141,1,0,0,11,"Host_Associated","Human","Gut","NULL","viral_origin"
