"accession","name","pfam_description","Source Database"
"PF21738","Double jelly roll-like domain","This entry represents a domain found in a group of proteins mainly from arthropods containing a jelly-roll domain, which has similarity to domains otherwise found in a variety of large dsDNA virus capsid proteins.","PFAM"
"PF22464","Spike protein P1, first jelly-roll domain","This entry represents the first jelly-roll domain of Spike protein P1 from Pseudoalteromonas phage PM2 [[cite:PUB00049918]].","PFAM"
"PF22465","Spike protein P1, second jelly-roll domain","This entry represents the second jelly-roll domain of Spike protein P1 from Pseudoalteromonas phage PM2 [[cite:PUB00049918]].","PFAM"
"PF22907","Alpha-mannosidase, jelly roll domain","This domain is found at the N-terminal end of Alpha-mannosidase 2C1 from Schizosaccharomyces pombe (Ams1) and similar sequences mainly from eukaryota and some species from actinomycetes. Ams1 hydrolyse terminal alpha-linked mannoses in free oligosaccharides released from misfolded glycoproteins or lipid-linked oligosaccharide donors. This entry represents the jelly-roll domain [[cite:PUB00153805]].","PFAM"
"PF22794","ZPR1 jelly-roll domain","This entry represents the jelly-roll domain found in ZPR1 family. The zinc-finger protein ZPR1 is ubiquitous among eukaryotes. It is indeed known to be an essential protein in yeast. In quiescent cells, ZPR1 is localised to the cytoplasm. But in proliferating cells treated with EGF or with other mitogens, ZPR1 accumulates in the nucleolus. ZPR1 interacts with the cytoplasmic domain of the inactive EGF receptor (EGFR) and is thought to inhibit the basal protein tyrosine kinase activity of EGFR. This interaction is disrupted when cells are treated with EGF, though by themselves, inactive EGFRs are not sufficient to sequester ZPR1 to the cytoplasm [[cite:PUB00020594],[cite:PUB00020595],[cite:PUB00017397]]. Upon stimulation by EGF, ZPR1 directly binds the eukaryotic translation elongation factor-1alpha (eEF-1alpha) to form ZPR1/eEF-1alpha complexes [[cite:PUB00020594]]. These move into the nucleus, localising particularly at the nucleolus. Indeed, the interaction between ZPR1 and eEF-1alpha has been shown to be essential for normal cellular proliferation [[cite:PUB00020594]], and ZPR1 is thought to be involved in pre-ribosomal RNA expression [[cite:PUB00020595]]. ZPR1 binds preferentially to GDP-bound eEF1A but does not directly influence the kinetics of nucleotide exchange or GTP hydrolysis [[cite:PUB00045181]]. The alignment for the ZPR1 family shows a duplicated set composed of a zinc-ribbon domain followed by a jelly- roll domain (this entry). This family also includes several hypothetical archaeal proteins (from both Crenarchaeota and Euryarchaeota). This similarity between ZPR1 and archaeal proteins was not previously noted.","PFAM"
"PF17644","Jelly-roll domain of 30K viral movement proteins","This entry represents the core domain found in viral movement proteins (MP) of the 30K type. The core domain is conserved among MPs of 30K sharing the same predicted secondary structure which consists of 1 alpha-helix and 7 predicted beta-strands. The only sequence feature common to all 30K MPs is a short region between beta-strands 1 and 2, which contains several conserved hydrophobic positions, and a nearly-invariant aspartate which constitutes the sequence signature of the superfamily. This signature aspartate has a conserved role in essential for viral cell-to-cell movement [[cite:PUB00091032]]. It has been shown that this domain is structurally related to jelly roll capsid proteins from plant viruses [[cite:PUB00155479]].","PFAM"
"PF23618","Bacteriophage T4 gp9/10-like protein, C-terminal","This entry represents the C-terminal domain of Baseplate protein gp9 from Bacteriophage T4, a component of the viral baseplate [[cite:PUB00016498]]. Gp9 connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains. The C-terminal domain is thought to be essential for trimerisation and is organised into an eight- stranded antiparallel beta-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins [[cite:PUB00010705]]. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].","PFAM"
"PF21454","Major structural protein 1, jelly-roll domain","This entry represents a beta barrel domain found towards the N-terminal of phage Tuc2009 receptor binding protein (RBP) which forms the head domain, involved in carbohydrate recognition [[cite:PUB00151805]].","PFAM"
"PF07880","Bacteriophage T4 gp9/10-like protein","The members of this family are similar to gene products 9 (gp9) and 10 (gp10) of bacteriophage T4. Both proteins are components of the viral baseplate [[cite:PUB00016498]]. Gp9 (Swiss:P10927) connects the long tail fibres of the virus to the baseplate and triggers tail contraction after viral attachment to a host cell. The protein is active as a trimer, with each monomer being composed of three domains.  The N-terminal domain consists of an extended polypeptide chain and two alpha helices. The alpha1 helix from each of the three monomers in the trimer interacts with its counterparts to form a coiled-coil structure. The middle domain is a seven-stranded beta-sandwich that is thought to be a novel protein fold. The C-terminal domain is thought to be essential for gp9 trimerisation and is organised into an eight- stranded antiparallel beta-barrel, which was found to resemble the 'jelly roll' fold found in many viral capsid proteins. The long flexible region between the N-terminal and middle domains may be required for the function of gp9 to transmit signals from the long tail fibres [[cite:PUB00010705]]. Together with gp11, gp10 (Swiss:P10928) initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].","PFAM"
"PF12956","Domain of Unknown Function with PDB structure","Member PDB:3GF6 has statistically significant similarity  to TNF-like jelly roll fold may indicate an immunomodulatory function[[cite:PUB00055998]] or a bioadhesion role[[cite:PUB00055999]]","PFAM"
