"X","accession","target_name","query_name_clean","description","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","T_number","origin_genes","description_clean","classification","origin","functional_category"
1,"PF09113","N-glycanase_C","DTR_432913","Peptide-N-glycosidase F, C terminal","CIBIO",17173,21,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
2,"PF09113","N-glycanase_C","DTR_432913","Peptide-N-glycosidase F, C terminal","CIBIO",17173,21,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
3,"PF14717","DUF4465","DTR_065957","Domain of unknown function (DUF4465)","IMG/M",11447,123,3,0,0,21,"Aquatic","Marine","Oceanic","NULL",3,"viral","domain of unknown function \(duf4465\)","Unknown","Unknown","Unknown"
4,"PF02226","Pico_P1A","DTR_133317","Picornavirus coat protein (VP4)","IMG/M",10337,123,2,0,0,13,"Terrestrial","Soil",NA,"NULL",3,"viral","picornavirus coat protein \(vp4\)","Viral","Viral","Capsid Protein"
5,"PF03367","zf-ZPR1","DTR_886435","ZPR1 zinc-finger domain","HuVirDB",12060,55,1,0,1,17,"Host-Associated","Human","Gut","NULL",3,"viral","zpr1 zinc finger domain","Unknown","Eukaryotic","Binding Protein"
6,"PF03367","zf-ZPR1","DTR_886435","ZPR1 zinc-finger domain","HuVirDB",12060,55,1,0,1,17,"Host-Associated","Human","Gut","NULL",3,"viral","zpr1 zinc finger domain","Unknown","Eukaryotic","Binding Protein"
7,"PF09113","N-glycanase_C","DTR_449712","Peptide-N-glycosidase F, C terminal","CIBIO",17182,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
8,"PF09113","N-glycanase_C","DTR_449712","Peptide-N-glycosidase F, C terminal","CIBIO",17182,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
9,"PF18666","CBM64","DTR_547442","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
10,"PF18666","CBM64","DTR_547442","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
11,"PF18666","CBM64","DTR_547442","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
12,"PF20511","PMI_typeI_cat","DTR_236676","Phosphomannose isomerase type I, catalytic domain","IMG/M",8965,123,1,0,0,14,"Aquatic","Freshwater","Lake","NULL",3,"viral","phosphomannose isomerase type i, catalytic domain","Unknown","Varies (Prok/Euk)","Enzyme"
13,"PF20511","PMI_typeI_cat","DTR_236676","Phosphomannose isomerase type I, catalytic domain","IMG/M",8965,123,1,0,0,14,"Aquatic","Freshwater","Lake","NULL",3,"viral","phosphomannose isomerase type i, catalytic domain","Unknown","Varies (Prok/Euk)","Enzyme"
14,"PF20511","PMI_typeI_cat","DTR_236676","Phosphomannose isomerase type I, catalytic domain","IMG/M",8965,123,1,0,0,14,"Aquatic","Freshwater","Lake","NULL",3,"viral","phosphomannose isomerase type i, catalytic domain","Unknown","Varies (Prok/Euk)","Enzyme"
15,"PF05899","Cupin_3","DTR_305761","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
16,"PF05899","Cupin_3","DTR_305761","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
17,"PF05899","Cupin_3","DTR_305761","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
18,"PF18628","P2_N","DTR_266119","Viral coat protein P2 N-terminal domain","IMG/M",10256,127,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
19,"PF18628","P2_N","DTR_266119","Viral coat protein P2 N-terminal domain","IMG/M",10256,127,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
20,"PF09113","N-glycanase_C","DTR_103718","Peptide-N-glycosidase F, C terminal","IMG/M",17254,99,3,0,0,14,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
21,"PF09113","N-glycanase_C","DTR_103718","Peptide-N-glycosidase F, C terminal","IMG/M",17254,99,3,0,0,14,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
22,"PF02226","Pico_P1A","DTR_851643","Picornavirus coat protein (VP4)","HGM",8605,141,1,0,0,11,"Host-Associated","Human","Gut","NULL",3,"viral","picornavirus coat protein \(vp4\)","Viral","Viral","Capsid Protein"
23,"PF02226","Pico_P1A","DTR_851643","Picornavirus coat protein (VP4)","HGM",8605,141,1,0,0,11,"Host-Associated","Human","Gut","NULL",3,"viral","picornavirus coat protein \(vp4\)","Viral","Viral","Capsid Protein"
24,"PF09113","N-glycanase_C","DTR_851373","Peptide-N-glycosidase F, C terminal","HGM",17214,62,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
25,"PF09113","N-glycanase_C","DTR_851373","Peptide-N-glycosidase F, C terminal","HGM",17214,62,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
26,"PF09113","N-glycanase_C","DTR_862930","Peptide-N-glycosidase F, C terminal","HGM",17196,44,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
27,"PF09113","N-glycanase_C","DTR_862930","Peptide-N-glycosidase F, C terminal","HGM",17196,44,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
28,"PF03678","Adeno_hexon_C","DTR_009104","Hexon, adenovirus major coat protein, C-terminal domain","IMG/M",14358,101,4,0,0,13,"Aquatic","Non-marine saline","Hypersaline","NULL",3,"viral","hexon, adenovirus major coat protein, c terminal domain","Viral","Viral","Capsid Protein"
29,"PF17991","Thioredoxin_10","DTR_663535","Thioredoxin like C-terminal domain","MGnify",16628,55,7,0,0,19,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
30,"PF17991","Thioredoxin_10","DTR_663535","Thioredoxin like C-terminal domain","MGnify",16628,55,7,0,0,19,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
31,"PF09113","N-glycanase_C","DTR_772781","Peptide-N-glycosidase F, C terminal","HGM",17227,75,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
32,"PF09113","N-glycanase_C","DTR_772781","Peptide-N-glycosidase F, C terminal","HGM",17227,75,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
33,"PF17991","Thioredoxin_10","DTR_441307","Thioredoxin like C-terminal domain","CIBIO",16478,55,7,0,0,17,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
34,"PF17991","Thioredoxin_10","DTR_441307","Thioredoxin like C-terminal domain","CIBIO",16478,55,7,0,0,17,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
35,"PF17974","GalBD_like","DTR_179721","Galactose-binding domain-like","IMG/M",14231,77,3,0,1,17,"Host-Associated","Mammals","Digestive system","NULL",3,"viral","galactose binding domain like","Unknown","Varies (Prok/Euk)","Binding Protein"
36,"PF17974","GalBD_like","DTR_179721","Galactose-binding domain-like","IMG/M",14231,77,3,0,1,17,"Host-Associated","Mammals","Digestive system","NULL",3,"viral","galactose binding domain like","Unknown","Varies (Prok/Euk)","Binding Protein"
37,"PF09113","N-glycanase_C","DTR_797207","Peptide-N-glycosidase F, C terminal","HGM",17255,94,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
38,"PF09113","N-glycanase_C","DTR_797207","Peptide-N-glycosidase F, C terminal","HGM",17255,94,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
39,"PF18666","CBM64","DTR_140865","Carbohydrate-binding module 64","IMG/M",12444,119,4,0,0,26,"Aquatic","Marine","Coastal","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
40,"PF09206","ArabFuran-catal","DTR_171909","Alpha-L-arabinofuranosidase B, catalytic","IMG/M",13017,123,2,0,0,23,"Aquatic","Freshwater","Lake","NULL",3,"viral","alpha l arabinofuranosidase b, catalytic","Unknown","Varies (Prok/Euk)","Enzyme"
41,"PF09206","ArabFuran-catal","DTR_171909","Alpha-L-arabinofuranosidase B, catalytic","IMG/M",13017,123,2,0,0,23,"Aquatic","Freshwater","Lake","NULL",3,"viral","alpha l arabinofuranosidase b, catalytic","Unknown","Varies (Prok/Euk)","Enzyme"
42,"PF09113","N-glycanase_C","DTR_558690","Peptide-N-glycosidase F, C terminal","MGnify",17189,37,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
43,"PF09113","N-glycanase_C","DTR_558690","Peptide-N-glycosidase F, C terminal","MGnify",17189,37,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
44,"PF15414","DUF4621","DTR_622422","Protein of unknown function (DUF4621)","MGnify",15728,55,9,0,0,16,"Host-Associated","Human","Gut","NULL",4,"viral","protein of unknown function \(duf4621\)","Unknown","Unknown","Unknown"
45,"PF17991","Thioredoxin_10","DTR_478164","Thioredoxin like C-terminal domain","CIBIO",16548,55,6,0,0,19,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
46,"PF17991","Thioredoxin_10","DTR_478164","Thioredoxin like C-terminal domain","CIBIO",16548,55,6,0,0,19,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
