Accession	Name	Description	Source Database
IPR006558	LamG-like jellyroll fold	This LamG-like jellyroll fold domain is found in the metalloproteinase Pappalysin-1 [[cite:PUB00075712]] and Usherin [[cite:PUB00075711]]. Its function is unknown.	INTERPRO
SM00560	LamG-like jellyroll fold domain		SMART
IPR027411	Baseplate structural protein Gp9/Gp10 middle domain superfamily	This superfamily represents the middle domain found in baseplate structural protein Gp9 and Gp10 of bacteriophage T4. The Bacteriophage T4 is a double-stranded, structurally complex virus that infects Escherichia coli.  Gene product 9 (Gp9) connects the long tail fibres to the baseplate, and triggers baseplate reorganisation and tail contraction after virus attachment to the host cell.  The Gp9 protein forms a homotrimer, with each monomer having three domains:  the N-terminal α-helical domain forms a triple coiled coil, the middle domain is a mixed, seven-stranded β sandwich with a unique fold, and the C-terminal domain is a eight-stranded β-sandwich with similarity to jellyroll viral capsid protein structures [[cite:PUB00010705]].  The flexible loops that occur between domains may enable the conformational changes necessary during infection. Together with gp11, gp10 initiates the assembly of wedges that then go on to associate with a hub to form the viral baseplate [[cite:PUB00016498]].	INTERPRO
IPR049302	Major coat protein-like	This protein family includes Major coat protein from Salmonella phage epsilon15 (Gp10) and similar sequences from tailed bacteriophages and from bacterial prophages. Gp10 binds to the outer surface of the virus capsid. It adopts a jellyroll viral protein fold with two sheets consisting of four β-strands each [[cite:PUB00151645]].	INTERPRO
PF21190	Bbp16	This protein family includes Bbp16 from Bordetella phage BPP-1 and similar proteins from tailed bacteriophages and prophages mainly found in Proteobacteria. Bbp16, which adopts a dimeric configuration, is essential for forming infectious phage particles. This cement protein has a jellyroll fold with two beta-sheets, each consisting of four anti-parallel strands [[cite:PUB00151719]].	PFAM
PF21628	Major coat protein-like	This protein family includes Major coat protein from Salmonella phage epsilon15 (Gp10) and similar sequences from tailed bacteriophages and from bacterial prophages. Gp10 binds to the outer surface of the virus capsid. It adopts a jellyroll viral protein fold with two sheets consisting of four beta-strands each [[cite:PUB00151645]].	PFAM
PF23370	Capsid protein Vp20	This entry represents the capsid protein Vp20 from apple-latent spherical virus (ALSV) and related picorna-like plant viruses. This protein is encoded in a polyprotein that is cleaved into three capsid proteins, Vp25, Vp20 and Vp24, which all have jellyroll folds and form one protomer; 60 copies of this unit compose one virion. Vp25, Vp20 and Vp24 contribute to capsid stabilization [[cite:PUB00155910]]. Vp25 and Vp20 form more extensive interactions with their neighbours and likely form a rigid capsid frame that supports the looser Vp24 protrusions [[cite:PUB00155910]].	PFAM
PF21592	Bc2l-C, N-terminal domain	This domain is found at the N-terminal end of Lectin from Burkholderia cenocepacia (Bc2l-C) and similar bacterial sequences. Bc2l-C is a soluble lectin involved in bacterial adhesion and subsequent deadly infection to the host. It has two domains: a C-terminal domain Pfam:PF07472 and this domain, which adopts a compact jellyroll architecture composed of 11 beta-strands and a short helix. It shows specificity for fucosylated human histo-blood group epitopes H-type 1, Lewis b, and Lewis Y [[cite:PUB00055999],[cite:PUB00151849]].	PFAM
IPR048921	Bc2l-C, N-terminal domain	This domain is found at the N-terminal of Lectin from Burkholderia cenocepacia (Bc2l-C) and similar sequences from proteobacteria. Bc2l-C is a soluble lectin involved in bacterial adhesion and subsequent deadly infection to the host. It has two domains: a C-terminal domain [interpro:IPR010907] and this domain, which adopts a compact jellyroll architecture composed of 11 β-strands and a short helix. It shows specificity for fucosylated human histo-blood group epitopes H-type 1, Lewis b, and Lewis Y [[cite:PUB00055999], [cite:PUB00151849]].	INTERPRO
PF23371	Capsid protein Vp24	This entry represents the capsid Vp24 protein from apple-latent spherical virus (ALSV) and related picorna-like plant viruses. This protein is encoded in a polyprotein that is cleaved into three proteins, Vp25, Vp20 and Vp24 which all have jellyroll fold and form one protomer; 60 copies of this unit compose one virion. Vp25, Vp20 and Vp24 contribute to capsid stabilization [[cite:PUB00155910]]. Vp24 form a pentameric protrusion around a fivefold axis, and the protrusion sits on a base of Vp25 and Vp20. Vp24 is more loosely held and is supported by Vp25 nd Vp20 [[cite:PUB00155910]].	PFAM
PF23369	Capsid protein Vp25	This entry represents the capsid Vp24 protein from apple-latent spherical virus (ALSV) and related picorna-like plant viruses. This protein is encoded in a polyprotein that is cleaved into three capsid proteins, Vp25, Vp20 and Vp24, which all have jellyroll folds and form one protomer; 60 copies of this unit compose one virion. Vp25, Vp20 and Vp24 contribute to capsid stabilization [[cite:PUB00155910]].  Vp25 has two extra beta-sheets (beta1 and beta2) comparing to Vp20 and Vp24. Vp25 and Vp20 form more extensive interactions with their neighbours and likely form a rigid capsid frame that supports the looser Vp24 protrusions [[cite:PUB00155910]].	PFAM
PTHR36504	Lipopolysaccharide export system LptA	This family of proteins is involved in the assembly and transport of lipopolysaccharide (LPS) across the bacterial cell envelope. Members of this family are essential for the translocation of LPS from the inner membrane to the outer membrane. They are believed to form a structural bridge between the inner and outer membranes, interacting with other Lpt proteins such as LptC and LptD to facilitate the movement of LPS through the periplasmic space. This process is critical for maintaining cell envelope integrity, viability, and pathogenicity in various bacterial species. Some family members are known to bind LPS directly and adopt a beta-jellyroll structure, which is characteristic of Lpt proteins in E. coli.	PANTHER
IPR052037	Lipopolysaccharide export system LptA	This family of proteins is involved in the assembly and transport of lipopolysaccharide (LPS) across the bacterial cell envelope. Members of this family are essential for the translocation of LPS from the inner membrane to the outer membrane. They are believed to form a structural bridge between the inner and outer membranes, interacting with other Lpt proteins such as LptC and LptD to facilitate the movement of LPS through the periplasmic space. This process is critical for maintaining cell envelope integrity, viability, and pathogenicity in various bacterial species. Some family members are known to bind LPS directly and adopt a beta-jellyroll structure, which is characteristic of Lpt proteins in E. coli.	INTERPRO
PF18425	Csp protease B prodomain	Csp proteases (Csps) and the subtilase protease family Subtilases are serine proteases that contain a catalytic triad in the order of Asp, His and Ser. Structure analysis reveals that Csps are subtilisin-like proteases with two distinctive functional features: a central jellyroll domain and a retained prodomain. The prodomain adopts a similar fold to the prodomains of related subtilisin-like proteases with the C-terminal region extending deep into the catalytic cleft. However, unlike the majority of subtilisin-like proteases, the prodomain stays bound to the subtilase domain via a network of interactions that result in tighter prodomain binding relative to other subtilases. Finally the prodomain acts as both an intramolecular chaperone and an inhibitor of CspB protease activity [[cite:PUB00091545]].	PFAM
IPR041365	Csp protease B, prodomain	Csp proteases (Csps) and the subtilase protease family Subtilases are serine proteases that contain a catalytic triad in the order of Asp, His and Ser. Structure analysis reveals that Csps are subtilisin-like proteases with two distinctive functional features: a central jellyroll domain and a retained prodomain. The prodomain adopts a similar fold to the prodomains of related subtilisin-like proteases with the C-terminal region extending deep into the catalytic cleft. However, unlike the majority of subtilisin-like proteases, the prodomain stays bound to the subtilase domain via a network of interactions that result in tighter prodomain binding relative to other subtilases. Finally the prodomain acts as both an intramolecular chaperone and an inhibitor of CspB protease activity [[cite:PUB00091545]].	INTERPRO
